file,severity,score,tier,flags
123contactform-for-wordpress-946a21f998cef340351adc445dd1574d.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
360-product-rotation-9cc7f597fc9c18264cc11b072e95982b.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
3dprint-lite-f94d4444c3631fd35d25ed35a445cc8b.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
CVE-2008-0490.yaml,critical,70,3-acceptable,strong_and_matchers|single_weak_word_matcher|readme_only_path
CVE-2008-0520.yaml,critical,70,3-acceptable,strong_and_matchers|single_weak_word_matcher|readme_only_path
CVE-2008-1982.yaml,critical,70,3-acceptable,strong_and_matchers|single_weak_word_matcher|readme_only_path
CVE-2010-0673.yaml,critical,70,3-acceptable,strong_and_matchers|single_weak_word_matcher|readme_only_path
CVE-2012-3578.yaml,critical,70,3-acceptable,strong_and_matchers|single_weak_word_matcher|readme_only_path
CVE-2013-3530.yaml,critical,70,3-acceptable,strong_and_matchers|single_weak_word_matcher|readme_only_path
CVE-2013-3532.yaml,critical,70,3-acceptable,strong_and_matchers|single_weak_word_matcher|readme_only_path
CVE-2014-7957.yaml,critical,70,3-acceptable,strong_and_matchers|single_weak_word_matcher|readme_only_path
CVE-2014-8363.yaml,critical,70,3-acceptable,strong_and_matchers|single_weak_word_matcher|readme_only_path
CVE-2017-1002018.yaml,critical,70,3-acceptable,strong_and_matchers|single_weak_word_matcher|readme_only_path
CVE-2017-1002019.yaml,critical,70,3-acceptable,strong_and_matchers|single_weak_word_matcher|readme_only_path
CVE-2018-11515.yaml,critical,70,3-acceptable,strong_and_matchers|single_weak_word_matcher|readme_only_path
CVE-2018-16613.yaml,critical,70,3-acceptable,strong_and_matchers|single_weak_word_matcher|readme_only_path
CVE-2018-5315.yaml,critical,70,3-acceptable,strong_and_matchers|single_weak_word_matcher|readme_only_path
CVE-2019-12240.yaml,critical,70,3-acceptable,strong_and_matchers|single_weak_word_matcher|readme_only_path
CVE-2019-13578.yaml,critical,70,3-acceptable,strong_and_matchers|single_weak_word_matcher|readme_only_path
CVE-2020-7947.yaml,critical,70,3-acceptable,strong_and_matchers|single_weak_word_matcher|readme_only_path
CVE-2021-24493.yaml,critical,70,3-acceptable,strong_and_matchers|single_weak_word_matcher|readme_only_path
CVE-2022-1780.yaml,critical,70,3-acceptable,strong_and_matchers|single_weak_word_matcher|readme_only_path
CVE-2022-29411.yaml,critical,70,3-acceptable,strong_and_matchers|single_weak_word_matcher|readme_only_path
CVE-2022-4794.yaml,critical,70,3-acceptable,strong_and_matchers|single_weak_word_matcher|readme_only_path
CVE-2023-25700.yaml,critical,70,3-acceptable,strong_and_matchers|single_weak_word_matcher|readme_only_path
CVE-2023-2834.yaml,critical,70,3-acceptable,strong_and_matchers|single_weak_word_matcher|readme_only_path
CVE-2023-29384.yaml,critical,70,3-acceptable,strong_and_matchers|single_weak_word_matcher|readme_only_path
CVE-2023-33327.yaml,critical,70,3-acceptable,strong_and_matchers|single_weak_word_matcher|readme_only_path
GoogleAlertandtwitterplugin-74d7d93a36ea9304bf2eed2b9101e53f.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
Ultimate_VC_Addons-95ec8def6729e30cf59e651589256a50.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
WP_Estimation_Form-3e944d6eb15cd750bafc92a7b9fa2906.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
a3-responsive-slider-8378208667ef8058cc7e5f3b02331813.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
absolute-privacy-b95d88a32a5b0e195ed3e57796866c13.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
accessally-f01fda9e637e3dc85392189c350003ef.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
ad-widget-4c4b5e638fb9f2e3b075a58e9bede3a0.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
addblockblocker-fceed21ddea9146975eeee4ef88c9a76.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
addthis-bede7f6ef10159825a1f58ffe85b4482.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
admin-word-count-column-082536c0e603eea3605175b43105f66e.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
ads-box-1f68827b3d9b4f3f6e3c8aa628183087.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
advanced-access-manager-ea2663800436129993edd6a6efcfbd38.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
advanced-booking-calendar-d34bb20f729d6e960376fc5bb06fcce2.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
